burners,burnerParent,totalWins,totalLosses,totalGasEarned,totalGasLost,totalGames,totalRevenue
0xAB565131e4F17661A71aAE0A8a65ba7B26FD2ccC,0x0000000000000000000000000000000000000000,0.0,8.0,0.0,210.65,8.0,-210.65
0x9D66Bc3D984d19f8DA431d72979d63488bD38cC2,0x0000000000000000000000000000000000000000,3.0,3.0,397.794,0.35,6.0,397.44399999999996
0x15F39b053F63797a20ddE324713D890B24a8C690,0x0000000000000000000000000000000000000000,1.0,5.0,0.292,3.35,6.0,-3.0580000000000003
0x02F1f5A58d181cc44c754fF6E246148E6d44F330,0x0ec5E6656F15851072F67eeaEe50fcF76174CD07,2.0,2.0,1.056,4.9,4.0,-3.8440000000000003
0x1a654ae3314CF114dCe3713293BF2D4E5dce2F21,0x712136E4B6a9fCbC8E7d64DB270376b0023271a4,2.0,2.0,4.802,1.1,4.0,3.7019999999999995
0x4F9cEE366a56CB788AA1Ed23C3E8f30bD8E6f919,0x314cd45450BcF213dd02F5d40eF2C08B1BB171Df,2.0,0.0,2.88,0.0,2.0,2.88
0x7c18211dFaB7b8f20dbE5beB79bA7b69FbeFf25b,0x0000000000000000000000000000000000000000,0.0,2.0,0.0,200.1,2.0,-200.1
0x0F715B507ecF00072EF972a6473Cae056bAABE8D,0x0000000000000000000000000000000000000000,0.0,2.0,0.0,1.1,2.0,-1.1
0x4B15331b156122218D2a61873a53d3d1a53E31b0,0x0000000000000000000000000000000000000000,1.0,1.0,0.438,0.1,2.0,0.33799999999999997
0xa98A30aa944Fe80765775aDCf6C9384Af780E134,0x0000000000000000000000000000000000000000,2.0,0.0,1.056,0.0,2.0,1.056
0xF2aa741cAfe1E8D2a244A281d0fDE100DB2111fD,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,1.0,1.0,0.096,1.0,2.0,-0.904
0x1034A7BE898df18DE2E18D4fb3bAf3E3437044fE,0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266,1.0,0.0,0.96,0.0,1.0,0.96
0x1c9CE4d4F48AEaD669d21E89D84BB06f6dc0Fb85,0x0000000000000000000000000000000000000000,1.0,0.0,0.192,0.0,1.0,0.192
0x64D9c315d904f3643B9565ef6c97903caaee516C,0xE715Eeca1D8DaDc75cAf45AedbDb3952f73771A9,1.0,0.0,0.096,0.0,1.0,0.096
0x68ACE699D3ed448b57c559fc40D321a78DCb05Ff,0x314cd45450BcF213dd02F5d40eF2C08B1BB171Df,0.0,1.0,0.0,0.2,1.0,-0.2
0xbbC6C81295e20C33471fceD9f8BDAA069a4cd126,0xA21D9Ab4C71B67782d1E2399C477b613ab1e5b8A,1.0,0.0,0.096,0.0,1.0,0.096
0xf08aa9A6B044b7f518fFB3F0781381D254827EfB,0x0000000000000000000000000000000000000000,1.0,0.0,0.194,0.0,1.0,0.194
